City_Id,City,Country,Max Temp,Lat,Lng,Hotel Name
662,Eirunepe,BR,71.92,-6.6603,-69.8736,No hotel found
663,Broken Hill,AU,86.11,-31.95,141.4333,Ibis Styles
664,Moindou,NC,81.32,-21.6924,165.677,No hotel found
672,Vaitape,PF,80.46,-16.5167,-151.75,Oa Oa Lodge
675,Labuan,MY,81.82,5.2767,115.2417,Labuan Avenue Hotel
678,Martapura,ID,87.89,-3.4167,114.85,Q-Hotel Grand Dafam
683,Toamasina,MG,80.11,-18.1667,49.3833,Androranga
684,Noumea,NC,85.98,-22.2763,166.4572,Hotel Gondwana
690,Tawau,MY,84.16,4.2498,117.8871,Eden boutique
692,Cabo Rojo,PR,75.96,18.0866,-67.1457,No hotel found
694,Sao Jose Da Coroa Grande,BR,76.86,-8.8978,-35.1478,Hotel do Sol
697,Taua,BR,75.88,-5.9667,-40.3,No hotel found
701,Port Macquarie,AU,70.9,-31.4333,152.9167,The Observatory
705,Bahia De Caraquez,EC,73.58,-0.6,-80.4167,No hotel found
